Date;Dated Brent;Bonny light;Mars;WTI;Maya Europe;Maya USGC;ESPO;Urals NWE;Urals MED;Dubai
01.01.2000;25.5;;;;;;;-0.5;-0.5;-2.2
01.02.2000;27.9;;;;;;;-0.5;-0.5;-3.2
01.03.2000;27.3;;;;;;;-1;-1.5;-2.2
01.04.2000;22.6;;;;;;;-1;-1.4;-0.5
01.05.2000;27.6;;;;;;;-0.6;-1.2;-1.9
01.06.2000;29.8;;;;;;;-1.6;-2.4;-2.6
01.07.2000;28.5;;;;;;;-3.1;-4;-2.4
01.08.2000;30.1;;;;;;;-2.4;-2.7;-3.1
01.09.2000;32.7;;;;;;;-2.3;-2.7;-2.8
01.10.2000;30.9;;;;;;;-1.6;-2.5;-0.4
01.11.2000;32.6;;;;;;;-1;-1.4;-2.3
01.12.2000;25.1;;;;;;;-1.4;-1.5;-3.5
01.01.2001;25.7;;;;;;;-1;-1.1;-2.8
01.02.2001;27.4;;;;;;;-2;-2.6;-2.6
01.03.2001;24.4;;;;;;;-2.5;-2.7;-1
01.04.2001;25.7;;;;;;;-2;-1.8;-1.5
01.05.2001;28.5;;;;;;;-1.5;-1.9;-2.9
01.06.2001;27.8;;;;;;;-1.9;-2.3;-2.2
01.07.2001;24.6;0.2;;;;;;-1.2;-1.5;-1.1
01.08.2001;25.7;0;;;;;;-0.9;-1.2;-1.2
01.09.2001;25.6;0.1;;;;;;-1.4;-0.8;-1.5
01.10.2001;20.5;0;;;;;;-0.7;-0.8;-0.9
01.11.2001;19;0.2;;;;;;-0.6;-0.9;-1.3
01.12.2001;18.7;0.2;;;;;;-0.5;-0.2;-0.9
01.01.2002;19.5;0.2;;;;-5.7;;-1;-1.1;-1
01.02.2002;20.2;0.1;;;;-5;;-1.2;-1.4;-1.2
01.03.2002;23.7;0;;;;-4.4;;-1.3;-1.7;-0.8
01.04.2002;25.7;0;;;;-3.6;;-1.6;-1.7;-1.1
01.05.2002;25.3;-0.2;;;;-3;;-1.3;-1.5;-0.6
01.06.2002;24.1;0;;;;-2.7;;-1;-1.2;-0.2
01.07.2002;25.8;0.1;;;;-3.3;;-1;-1;-1.1
01.08.2002;26.7;0.3;;;;-3.6;;-0.8;-1;-1.4
01.09.2002;28.4;0.2;;;;-3.7;;-1.5;-1.4;-1.6
01.10.2002;27.6;0.2;;;;-4;;-1.5;-1.6;-1.3
01.11.2002;24.1;0.1;;;;-4.5;;-1.3;-1.2;-0.8
01.12.2002;28.7;0.5;;;;-5.7;;-1;-0.9;-2.9
01.01.2003;31.3;0.5;;;;-3.6;;-1.8;-2.4;-3.3
01.02.2003;32.7;0.2;;;;-5;;-1.8;-2.3;-2.7
01.03.2003;30.5;0.5;;;;-6.6;;-2.7;-2;-3.2
01.04.2003;24.9;0.4;;;;-4.5;;-2.5;-2.2;-1.4
01.05.2003;25.7;0.3;;;;-3.9;;-1.9;-1.9;-1.4
01.06.2003;27.5;0.4;;;;-4.1;;-1.8;-2.4;-2
01.07.2003;28.4;0.2;;;;-3.3;;-1.2;-1.5;-1.6
01.08.2003;29.8;0.3;;;;-3.9;;-1.1;-1;-2.1
01.09.2003;27.1;0.3;-1.3;;;-5;;-1.4;-1.4;-1.7
01.10.2003;29.7;0.4;-2.4;;;-5.5;;-1.7;-1.7;-2.4
01.11.2003;28.7;0.2;-1.2;;;-4.5;;-1.4;-1.1;-1.1
01.12.2003;29.9;0.1;-0.5;;;-5.3;;-1.9;-1.5;-1.8
01.01.2004;31.2;0.2;-1;;;-5.6;;-2.7;-2.4;-2.3
01.02.2004;30.8;0.2;-1.7;;;-6;;-3.3;-3.2;-2.2
01.03.2004;33.8;0.6;-1.7;;;-6.6;;-2.9;-3.5;-2.9
01.04.2004;33.2;0.7;-2.1;;;-5.5;;-3.4;-3.1;-1.6
01.05.2004;37.8;0.7;-1.9;;;-6;;-2.8;-2.7;-3.1
01.06.2004;35;0.1;-1.8;;;-5.8;;-3.2;-2.6;-1.6
01.07.2004;38.3;0.4;-2.5;;;-7.7;;-2.9;-3.1;-3.7
01.08.2004;43;0.9;-4.3;;;-10.5;;-4.6;-4.2;-4.5
